place_in_repository,display_en,display_kk,display_mn,province
Bugat Sum,Bugat Sum,Бугат сұмын,,Bayan Ölgii
Bulgan Sum,Bulgan Sum,Бұлғын сұмын,,Bayan Ölgii
Bulgan Sum center,Bulgan Sum center,Бұлғын сұмын орталығы,,Bayan Ölgii
"Bulgan Sum, Dund Jargalant","Bulgan Sum, Dund Jargalant","Бұлғын сұмын, Дунд Жаргалант",,Bayan Ölgii
"Bulgan Sum, Dundtomort, Khargayt","Bulgan Sum, Dundtomort, Khargayt","Булган сум, Дунд Төмөрт, Харгайт",,Bayan Ölgii
"Bulgan Sum, Dundtomort, Khorj","Bulgan Sum, Dundtomort, Khorj","Булган сум, Дунд Төмөрт, Хорж",,Bayan Ölgii
"Bulgan Sum, Dundtömirt","Bulgan Sum, Dundtömirt","Бұлғын сұмыны, Дунд Төмөрт",,Bayan Ölgii
"Bulgan Sum, Ikh Jargalant","Bulgan Sum, Ikh Jargalant","Бұлғын сұмын, Их Жаргалант",,Bayan Ölgii
"Bulgan Sum, Ikh Tömirt","Bulgan Sum, Ikh Tömirt","Бұлғын сұмыны, Их Төмөрт",,Bayan Ölgii
"Bulgan Sum, Indert","Bulgan Sum, Indert","Бұлғын сұмын, Индэрт",,Bayan Ölgii
"Bulgan Sum, Khuyten Khoshuu","Bulgan Sum, Khuyten Khoshuu","Бұлғын сұмыны, Хүйтэн хошуу",,Bayan Ölgii
"Bulgan Sum, Qara Kol","Bulgan Sum, Qara Kol","Бұлғын сұмын, Қара көл",,Bayan Ölgii
"Bulgan Sum, Saykhan","Bulgan Sum, Saykhan","Бұлғын сұмыны, Сайхан",,Bayan Ölgii
"Bulgan Sum, Turgen","Bulgan Sum, Turgen","Бұлғын сұмын, Түргэн",,Bayan Ölgii
"Bulgan Sum, Tuulait","Bulgan Sum, Tuulait","Бұлғын сұмыны, Туулайт",,Bayan Ölgii
"Bulgan Sum, Tuulayt","Bulgan Sum, Tuulayt","Бұлғын сұмын, Туулайт",,Bayan Ölgii
"Bulgan Sum, Tuulayt, Danzin Kharagai","Bulgan Sum, Tuulayt, Danzin Kharagai","Бұлғын сұмын, Туулайт, Данзан Қарағай",,Bayan Ölgii
"Bulgan Sum, Tuulayt, Khujirlikh","Bulgan Sum, Tuulayt, Khujirlikh","Бұлғын сұмын, Туулайт, Құжырлық",,Bayan Ölgii
"Bulgan Sum, Ulaagchin","Bulgan Sum, Ulaagchin","Бұлғын сұмыны, Улаагчин",,Bayan Ölgii
"Bulgan Sum, Ulaandavaa","Bulgan Sum, Ulaandavaa","Бұлғын сұмын, Улаандаваада",,Bayan Ölgii
"Bulgan Sum, Yolt","Bulgan Sum, Yolt","Бұлғын сұмын, Ёлт",,Bayan Ölgii
"Bulgan, Dundtömirt","Bulgan, Dundtömirt","Бұлғын, Дунд Төмөрт",,Bayan Ölgii
Deluun Sum,Deluun Sum,Дэлүүн сұмыны,,Bayan Ölgii
Deluun Sum center,Deluun Sum center,Дэлүүн сұмын орталығы,,Bayan Ölgii
"Deluun Sum, Bulagt","Deluun Sum, Bulagt","Дэлүүн сұмыны, Бұлақ",,Bayan Ölgii
Delvvn Center,Delvvn Center,Дэлүүн сұмын орталығы,,Bayan Ölgii
Delvvn Sum,Delvvn Sum,Дэлүүн сұмын,,Bayan Ölgii
Delvvn Sum center,Delvvn Sum center,Дэлүүн сұмын орталығы,,Bayan Ölgii
"Delvvn Sum, Bulagt","Delvvn Sum, Bulagt","Дэлүүн сұмыны, Бұлақ",,Bayan Ölgii
Khovd,Khovd,Қобда,,Khovd
Khovd Sum,Khovd Sum,Қобда сұмын,,Khovd
Khovd Sum Center,Khovd Sum Center,Қобда сұмын  орталығы,,Khovd
"Khovd Sum, Buyan Bulag","Khovd Sum, Buyan Bulag","Қобда сұмын, Баян Булаг",,Khovd
"Khovd Sum, Orgon Shireg","Khovd Sum, Orgon Shireg","Қобда сұмын, ӨргӨн Ширэг",,Khovd
"Khovd Sum, Ortasu","Khovd Sum, Ortasu","Қобда сұмын, Ортасу",,Khovd
